time,prcp,level,inflow
2008/7/18 8:00,,99.34,
2008/7/18 11:00,0.5,,38.7
2008/7/18 14:00,0.5,,34.83
2008/7/18 17:00,0.7,,31.347
2008/7/18 20:00,0.4,,28.2123
2008/7/18 23:00,8,,25.39107
2008/7/19 2:00,5.1,,22.851963
2008/7/19 5:00,9,,25.7667667
2008/7/19 8:00,24.2,99.67,40.11009003
2008/7/19 11:00,11.7,,73.55908103
2008/7/19 14:00,13.1,,183.0931729
2008/7/19 17:00,3.5,100.27,339.0938556
2008/7/19 20:00,1.6,,511.4444701
2008/7/19 23:00,0.3,,783.0300231
2008/7/20 2:00,,,981.1370208
2008/7/20 5:00,,,1005.253319
2008/7/20 8:00,,101.4,905.3679868
2008/7/20 11:00,,101.58,725.7711881
2008/7/20 14:00,,,557.1540693
2008/7/20 17:00,,101.85,425.4086624
2008/7/20 20:00,,,329.7777961
2008/7/20 23:00,,,262.8050165
2008/7/21 2:00,,,212.7345149
2008/7/21 5:00,,,172.4110634
2008/7/21 8:00,,102.47,140.1299571
2008/7/21 11:00,,,110.7869613
2008/7/21 14:00,,,83.87826521
2008/7/21 17:00,,102.51,60.10043869
2008/7/21 20:00,,,38.25039482
2008/7/21 23:00,,,19.42535534
2008/7/22 2:00,,,9.422819806
2008/7/22 5:00,,,3.440537825
2008/7/22 8:00,,102.83,1.876484043
