time,prcp,level,inflow,outflow
2013/6/1 11:00,7.16,152.35,245.3,535.4
2013/6/1 14:00,0,152.4,445.5,155.5
2013/6/1 17:00,0.74,152.41,240.4,182.3
2013/6/1 20:00,0.99,152.42,240.3,182.3
2013/6/1 23:00,6.29,152.41,378.1,436.1
2013/6/2 2:00,0.57,152.39,424.2,540.3
2013/6/2 5:00,0,152.46,431.1,24.9
2013/6/2 8:00,0,152.48,240.9,124.9
2013/6/2 11:00,12.08,152.48,543.6,543.6
2013/6/2 14:00,14.17,152.68,1417.1,256.5
2013/6/2 17:00,3.76,152.87,1466,363.4
2013/6/2 20:00,4.76,152.99,1060.1,363.7
2013/6/2 23:00,2.02,153.06,774.7,363.9
2013/6/3 2:00,0.48,153.12,699.2,346.4
2013/6/3 5:00,1.22,153.2,727,256.7
2013/6/3 8:00,0.76,153.25,532.8,238.8
2013/6/3 11:00,,153.27,475,357.3
2013/6/3 14:00,,153.32,409.8,115.8
2013/6/3 17:00,,153.34,432,314.5
2013/6/3 20:00,,153.36,249.1,131.5
2013/6/3 23:00,,153.37,423.1,364.3
2013/6/4 2:00,,153.36,303.9,362.7
2013/6/4 5:00,,153.38,300.8,183.2
2013/6/4 8:00,,153.37,223,281.8
2013/6/4 11:00,,,,
2013/6/4 14:00,,,,
2013/6/4 17:00,,,,
2013/6/4 20:00,,,,
2013/6/4 23:00,,,,
