time,prcp,level,outflow,inflow
2016/4/9 11:00,0,150.63,370.7,314.2
2016/4/9 14:00,0,150.63,321.3,321.3
2016/4/9 17:00,13.5,150.62,364.2,307.7
2016/4/9 20:00,12.1,150.67,115.5,397.9
2016/4/9 23:00,0.5,150.75,1.3,453.2
2016/4/10 2:00,0,150.87,4,681.8
2016/4/10 5:00,0,151.01,4,795.5
2016/4/10 8:00,0,151.13,5.2,692.4
2016/4/10 11:00,1.2,151.24,3.9,633.7
2016/4/10 14:00,15.9,151.35,4,633.8
2016/4/10 17:00,15.5,151.5,4,862.8
2016/4/10 20:00,5.1,151.7,31.6,1176.8
2016/4/10 23:00,0.2,151.95,4,1435.5
2016/4/11 2:00,0,152.16,4,1218.8
2016/4/11 5:00,0,152.34,4,1048.5
2016/4/11 8:00,0.6,152.49,11,881.5
2016/4/11 11:00,6.5,152.55,404.6,752.7
2016/4/11 14:00,4.6,152.6,305,595.2
2016/4/11 17:00,1,152.62,540.7,656.7
2016/4/11 20:00,1,152.7,350.3,814.6
2016/4/11 23:00,0.3,152.75,300.4,590.6
2016/4/12 2:00,0,152.84,208.5,730.7
2016/4/12 5:00,0,152.94,4,584.4
2016/4/12 8:00,0,153.01,92.1,499.1
2016/4/12 11:00,0,153.02,362.9,421.8
2016/4/12 14:00,0,153.09,98.7,510.2
2016/4/12 17:00,0,153.14,149.8,443.8
2016/4/12 20:00,0,153.18,136.6,371.8
