"time","prcp","level","outflow","inflow","eventid"
"2007/8/18 14:00","2.6","","","","2007081917"
"2007/8/18 17:00","12.3","","","","2007081917"
"2007/8/18 20:00","9.1","","","","2007081917"
"2007/8/18 23:00","10.5","","","","2007081917"
"2007/8/19 2:00","15.3","","","","2007081917"
"2007/8/19 5:00","21.3","48.2","","","2007081917"
"2007/8/19 8:00","14.3","47.2","700","440","2007081917"
"2007/8/19 11:00","27.8","49.3","730","1430","2007081917"
"2007/8/19 14:00","11.1","51.6","1000","2070","2007081917"
"2007/8/19 17:00","4.8","55.8","1280","3580","2007081917"
"2007/8/19 20:00","7.4","58.45","1500","3060","2007081917"
"2007/8/19 23:00","6.8","59.95","1610","2510","2007081917"
"2007/8/20 2:00","10.8","60.31","1660","1880","2007081917"
"2007/8/20 5:00","9.6","60.48","1670","1770","2007081917"
"2007/8/20 8:00","3.1","60.7","1680","1810","2007081917"
"2007/8/20 11:00","3.3","61.9","1720","2530","2007081917"
"2007/8/20 14:00","3.8","62.25","1750","2020","2007081917"
"2007/8/20 17:00","5.7","62.4","1770","1850","2007081917"
"2007/8/20 20:00","3.6","62.32","1770","1810","2007081917"
"2007/8/20 23:00","2.3","62.04","1760","1480","2007081917"
"2007/8/21 2:00","0.5","61.58","1740","1140","2007081917"
"2007/8/21 5:00","0.1","61","1720","1350","2007081917"
"2007/8/21 8:00","0.9","60.6","1690","1480","2007081917"
"2007/8/21 11:00","","59.2","1650","1020","2007081917"
"2007/8/21 14:00","","57.1","1530","274","2007081917"
"2007/10/6 11:00","0.0625","","","","2007100817"
"2007/10/6 14:00","0.1875","","","","2007100817"
"2007/10/6 17:00","8.2","","","","2007100817"
"2007/10/6 20:00","6.9","","","","2007100817"
"2007/10/6 23:00","5.8","","","","2007100817"
"2007/10/7 2:00","5.4","","","","2007100817"
"2007/10/7 5:00","13.7","","","","2007100817"
"2007/10/7 8:00","31.7","","","","2007100817"
"2007/10/7 11:00","16.3","","","","2007100817"
"2007/10/7 14:00","28.4","49.8","843","843","2007100817"
"2007/10/7 17:00","2.6","51.7","1130","2030","2007100817"
"2007/10/7 20:00","5.3","54.7","1340","2970","2007100817"
"2007/10/7 23:00","5.5","56.3","1440","2360","2007100817"
"2007/10/8 2:00","13.8","57.3","1500","2090","2007100817"
"2007/10/8 5:00","16.1","58.3","1550","2150","2007100817"
"2007/10/8 8:00","11.1","59.7","1630","2470","2007100817"
"2007/10/8 11:00","6.4","61","1700","2480","2007100817"
"2007/10/8 14:00","4.1","62.5","1780","2870","2007100817"
"2007/10/8 17:00","5.5","63.73","1830","2900","2007100817"
"2007/10/8 20:00","2.4","63.78","1840","1890","2007100817"
"2007/10/8 23:00","1","63.74","1840","1800","2007100817"
"2007/10/9 2:00","0.7","63.64","1830","1740","2007100817"
"2007/10/9 5:00","0.5","63.5","1820","1690","2007100817"
"2007/10/9 8:00","0.6","63.13","1800","1460","2007100817"
"2007/10/9 11:00","","","1750","1750","2007100817"
"2007/10/9 14:00","","60.65","1690","784","2007100817"
"2008/7/18 8:00","","99.34","","","2008072005"
"2008/7/18 11:00","0.5","","","38.7","2008072005"
"2008/7/18 14:00","0.5","","","34.83","2008072005"
"2008/7/18 17:00","0.7","","","31.347","2008072005"
"2008/7/18 20:00","0.4","","","28.2123","2008072005"
"2008/7/18 23:00","8","","","25.39107","2008072005"
"2008/7/19 2:00","5.1","","","22.851963","2008072005"
"2008/7/19 5:00","9","","","25.7667667","2008072005"
"2008/7/19 8:00","24.2","99.67","","40.11009003","2008072005"
"2008/7/19 11:00","11.7","","","73.55908103","2008072005"
"2008/7/19 14:00","13.1","","","183.0931729","2008072005"
"2008/7/19 17:00","3.5","100.27","","339.0938556","2008072005"
"2008/7/19 20:00","1.6","","","511.4444701","2008072005"
"2008/7/19 23:00","0.3","","","783.0300231","2008072005"
"2008/7/20 2:00","","","","981.1370208","2008072005"
"2008/7/20 5:00","","","","1005.253319","2008072005"
"2008/7/20 8:00","","101.4","","905.3679868","2008072005"
"2008/7/20 11:00","","101.58","","725.7711881","2008072005"
"2008/7/20 14:00","","","","557.1540693","2008072005"
"2008/7/20 17:00","","101.85","","425.4086624","2008072005"
"2008/7/20 20:00","","","","329.7777961","2008072005"
"2008/7/20 23:00","","","","262.8050165","2008072005"
"2008/7/21 2:00","","","","212.7345149","2008072005"
"2008/7/21 5:00","","","","172.4110634","2008072005"
"2008/7/21 8:00","","102.47","","140.1299571","2008072005"
"2008/7/21 11:00","","","","110.7869613","2008072005"
"2008/7/21 14:00","","","","83.87826521","2008072005"
"2008/7/21 17:00","","102.51","","60.10043869","2008072005"
"2008/7/21 20:00","","","","38.25039482","2008072005"
"2008/7/21 23:00","","","","19.42535534","2008072005"
"2008/7/22 2:00","","","","9.422819806","2008072005"
"2008/7/22 5:00","","","","3.440537825","2008072005"
"2008/7/22 8:00","","102.83","","1.876484043","2008072005"
"2008/7/28 11:00","0.3","104.63","","92","2008073005"
"2008/7/28 14:00","6.1","","","138.6","2008073005"
"2008/7/28 17:00","13.5","104.77","","185.2","2008073005"
"2008/7/28 20:00","8.5","","","210.7","2008073005"
"2008/7/28 23:00","13.4","104.95","","236.1","2008073005"
"2008/7/29 2:00","21.5","105.15","","537","2008073005"
"2008/7/29 5:00","24","105.69","","1450","2008073005"
"2008/7/29 8:00","6.6","106.5","","2230","2008073005"
"2008/7/29 11:00","10.7","107.38","","2490","2008073005"
"2008/7/29 14:00","12.6","108.08","","2020","2008073005"
"2008/7/29 17:00","13.7","108.72","","2040","2008073005"
"2008/7/29 20:00","11.7","109.55","","2490","2008073005"
"2008/7/29 23:00","9.9","110.4","","2590","2008073005"
"2008/7/30 2:00","7.5","111.45","250","3060","2008073005"
"2008/7/30 5:00","4.7","112.2","1000","3450","2008073005"
"2008/7/30 8:00","","112.78","1110","2956","2008073005"
"2008/7/30 11:00","","113.13","1120","2240","2008073005"
"2008/7/30 14:00","","113.37","1120","1900","2008073005"
"2008/7/30 17:00","","113.44","1130","1350","2008073005"
"2008/7/30 20:00","","113.49","1130","1370","2008073005"
"2008/7/30 23:00","","113.45","1130","1000","2008073005"
"2008/7/31 2:00","","113.33","1120","731","2008073005"
"2008/7/31 5:00","","113.15","1120","536","2008073005"
"2008/7/31 8:00","","112.97","1120","538","2008073005"
"2008/7/31 11:00","","112.73","1120","357","2008073005"
"2008/7/31 14:00","","112.52","1110","445","2008073005"
"2008/7/31 17:00","","112.29","1110","379","2008073005"
"2008/7/31 20:00","","112.03","1110","284","2008073005"
"2008/7/31 23:00","","","1100","","2008073005"
"2008/8/1 2:00","","","1100","","2008073005"
"2008/8/1 5:00","","","1100","","2008073005"
"2008/8/1 8:00","","111.05","868","176","2008073005"
"2009/8/9 2:00","7.7","137.94","","569","2009080920"
"2009/8/9 5:00","18.7","138.16","3.82","1050","2009080920"
"2009/8/9 8:00","15","138.43","","1300","2009080920"
"2009/8/9 11:00","11.3","138.83","133","1920","2009080920"
"2009/8/9 14:00","21.9","139.37","145","2740","2009080920"
"2009/8/9 17:00","24.9","140.26","231","4490","2009080920"
"2009/8/9 20:00","9.3","141.15","143","4650","2009080920"
"2009/8/9 23:00","11.8","141.85","33.4","3650","2009080920"
"2009/8/10 2:00","10.6","142.51","","3370","2009080920"
"2009/8/10 5:00","7","143.11","28.1","3050","2009080920"
"2009/8/10 8:00","4.2","143.62","","2640","2009080920"
"2009/8/10 11:00","1.8","144.03","","2100","2009080920"
"2009/8/10 14:00","2.5","144.36","","1700","2009080920"
"2009/8/10 17:00","2.8","144.64","","1450","2009080920"
"2009/8/10 20:00","1.1","144.88","","1240","2009080920"
"2009/8/10 23:00","2.3","145.07","","985","2009080920"
"2009/8/11 2:00","0.6","145.23","","770","2009080920"
"2009/8/11 5:00","0.2","145.37","","730","2009080920"
"2009/8/11 8:00","0.2","145.5","","679","2009080920"
"2009/8/11 11:00","","145.61","","575","2009080920"
"2009/8/11 14:00","","145.71","","522","2009080920"
"2009/8/11 17:00","","145.79","","417","2009080920"
"2010/5/22 5:00","14.2","152.64","500","442","2010052305"
"2010/5/22 8:00","14.6","152.64","510","510","2010052305"
"2010/5/22 11:00","13.7","152.83","500","1600","2010052305"
"2010/5/22 14:00","5","153.09","550","2061","2010052305"
"2010/5/22 17:00","11.8","153.33","560","1965","2010052305"
"2010/5/22 20:00","9.8","153.56","560","1906","2010052305"
"2010/5/22 23:00","6.9","153.81","550","2013","2010052305"
"2010/5/23 2:00","17.6","154.15","550","2550","2010052305"
"2010/5/23 5:00","0.4","154.56","550","2977","2010052305"
"2010/5/23 8:00","0.1","154.88","560","2454","2010052305"
"2010/5/23 11:00","","155.1","560","1865","2010052305"
"2010/5/23 14:00","","155.25","560","1452","2010052305"
"2010/5/23 17:00","","155.34","560","1095","2010052305"
"2010/5/23 20:00","","155.38","560","798","2010052305"
"2010/5/23 23:00","","155.41","560","738","2010052305"
"2010/5/24 2:00","","155.43","560","679","2010052305"
"2010/5/24 5:00","","155.43","560","560","2010052305"
"2010/5/24 8:00","","155.43","500","500","2010052305"
"2010/5/24 11:00","","155.41","300","181","2010052305"
"2010/5/24 14:00","","155.43","300","419","2010052305"
"2010/5/24 17:00","","155.44","300","359","2010052305"
"2010/5/24 20:00","","155.43","450","391","2010052305"
"2010/5/24 23:00","","155.42","500","441","2010052305"
"2010/5/25 2:00","","155.42","150","150","2010052305"
"2010/5/25 5:00","","155.47","0","297","2010052305"
"2010/5/25 8:00","","155.49","100","219","2010052305"
"2010/6/16 8:00","","154.35","","","2010062002"
"2010/6/16 11:00","0.2","154.37","0","118","2010062002"
"2010/6/16 14:00","0.5","154.39","0","118","2010062002"
"2010/6/16 17:00","4.6","154.41","0","118","2010062002"
"2010/6/16 20:00","10.9","154.44","0","183","2010062002"
"2010/6/16 23:00","1.9","154.47","0","178","2010062002"
"2010/6/17 2:00","0.1","154.51","0","236","2010062002"
"2010/6/17 5:00","3.2","154.54","47.6","178","2010062002"
"2010/6/17 8:00","3.5","154.57","256","225","2010062002"
"2010/6/17 11:00","1.1","154.57","298","256","2010062002"
"2010/6/17 14:00","4.9","154.57","77.7","297","2010062002"
"2010/6/17 17:00","11.9","154.6","0","256","2010062002"
"2010/6/17 20:00","20.9","154.7","0","592","2010062002"
"2010/6/17 23:00","21.2","155.01","0","1835","2010062002"
"2010/6/18 2:00","1.7","155.45","0","2617","2010062002"
"2010/6/18 5:00","0.4","155.83","0","2260","2010062002"
"2010/6/18 8:00","1.2","156.1","48.1","1669","2010062002"
"2010/6/18 11:00","11.9","156.3","171","1390","2010062002"
"2010/6/18 14:00","3.9","156.48","0","1097","2010062002"
"2010/6/18 17:00","3.1","156.63","0","914","2010062002"
"2010/6/18 20:00","","156.84","0","1280","2010062002"
"2010/6/18 23:00","","157.03","0","1164","2010062002"
"2010/6/19 2:00","0.2","157.17","0","876","2010062002"
"2010/6/19 5:00","","157.29","0","754","2010062002"
"2010/6/19 8:00","3.6","157.38","64.3","630","2010062002"
"2010/6/19 11:00","9.6","157.42","382","633","2010062002"
"2010/6/19 14:00","10.1","157.44","494","619","2010062002"
"2010/6/19 17:00","11.3","157.49","494","808","2010062002"
"2010/6/19 20:00","14.4","157.57","494","996","2010062002"
"2010/6/19 23:00","2.7","157.79","494","1876","2010062002"
"2010/6/20 2:00","1.8","158.14","493","2716","2010062002"
"2010/6/20 5:00","4.6","158.39","493","2106","2010062002"
"2010/6/20 8:00","0.9","158.6","493","1848","2010062002"
"2010/6/20 11:00","2.3","158.74","493","1397","2010062002"
"2010/6/20 14:00","1","158.84","493","1138","2010062002"
"2010/6/20 17:00","0.4","158.92","493","1009","2010062002"
"2010/6/20 20:00","0.6","158.96","493","751","2010062002"
"2010/6/20 23:00","3.8","159","493","751","2010062002"
"2010/6/21 2:00","1.5","159.01","492","557","2010062002"
"2010/6/21 5:00","2.3","159.03","492","622","2010062002"
"2010/6/21 8:00","0.9","159.04","492","557","2010062002"
"2010/6/21 11:00","0.1","159.05","492","557","2010062002"
"2010/6/21 14:00","13.4","159.06","495","560","2010062002"
"2010/6/21 17:00","6.2","159.09","495","689","2010062002"
"2010/6/21 20:00","2.3","159.12","495","689","2010062002"
"2010/6/21 23:00","3.8","159.17","495","819","2010062002"
"2010/6/22 2:00","0.1","159.23","495","755","2010062002"
"2010/6/22 5:00","3.9","159.29","495","625","2010062002"
"2010/6/22 8:00","5.6","159.38","495","1080","2010062002"
"2010/6/22 11:00","1.9","159.44","480","869","2010062002"
"2010/6/22 14:00","4.3","159.52","480","999","2010062002"
"2010/6/22 17:00","1","159.58","480","869","2010062002"
"2010/6/22 20:00","0.2","159.62","480","740","2010062002"
"2010/6/22 23:00","2.2","159.66","480","740","2010062002"
"2010/6/23 2:00","0.7","159.69","480","675","2010062002"
"2010/6/23 5:00","10.3","159.71","480","610","2010062002"
"2010/6/23 8:00","5.4","159.74","480","675","2010062002"
"2010/6/23 11:00","0.3","159.8","480","869","2010062002"
"2010/6/23 14:00","0.8","159.89","480","1064","2010062002"
"2010/6/23 17:00","0.7","159.94","680","1004","2010062002"
"2010/6/23 20:00","0.1","159.98","680","940","2010062002"
"2010/6/23 23:00","","159.98","680","680","2010062002"
"2010/6/24 2:00","","159.98","680","680","2010062002"
"2010/6/24 5:00","0.7","159.97","680","615","2010062002"
"2010/6/24 8:00","1.5","159.94","680","485","2010062002"
"2010/6/24 11:00","3.3","159.91","680","485","2010062002"
"2010/6/24 14:00","19.2","159.9","680","615","2010062002"
"2010/6/24 17:00","4.5","159.92","680","810","2010062002"
"2010/6/24 20:00","1.9","159.95","847","1208","2010062002"
"2010/6/24 23:00","1.5","159.96","1180","1245","2010062002"
"2010/6/25 2:00","1.9","159.95","1180","1115","2010062002"
"2010/6/25 5:00","8.9","159.91","1180","921","2010062002"
"2010/6/25 8:00","8.3","159.87","1180","920","2010062002"
"2010/6/25 11:00","6.4","159.88","1180","1250","2010062002"
"2010/6/25 14:00","1.2","159.95","1180","1634","2010062002"
"2010/6/25 17:00","3.4","160.02","1180","1635","2010062002"
"2010/6/25 20:00","7.8","160.07","1180","1507","2010062002"
"2010/6/25 23:00","3.2","160.11","1180","1442","2010062002"
"2010/6/26 2:00","0.6","160.15","1180","1442","2010062002"
"2010/6/26 5:00","0.2","160.16","1180","1245","2010062002"
"2010/6/26 8:00","0.1","160.15","1180","1115","2010062002"
"2010/6/26 11:00","","160.11","1180","918","2010062002"
"2010/6/26 14:00","2.5","160.06","1180","853","2010062002"
"2010/6/26 17:00","2.2","159.98","1180","657","2010062002"
"2010/6/26 20:00","5.2","159.96","713","583","2010062002"
"2010/6/26 23:00","0.1","159.99","480","675","2010062002"
"2010/6/27 2:00","0.1","160","480","545","2010062002"
"2010/6/27 5:00","0.1","160.01","480","545","2010062002"
"2010/6/27 8:00","0.7","160.02","480","545","2010062002"
"2011/4/15 20:00","1.1","147","0","30","2011041623"
"2011/4/15 23:00","0.5","147","0","40","2011041623"
"2011/4/16 2:00","8.5","147.01","0","50","2011041623"
"2011/4/16 5:00","11.3","147.03","0","107.4","2011041623"
"2011/4/16 8:00","8.9","147.06","0","161","2011041623"
"2011/4/16 11:00","13.1","147.08","82.5","189.8","2011041623"
"2011/4/16 14:00","14.4","147.18","12.1","548.6","2011041623"
"2011/4/16 17:00","13.1","147.35","0","912.2","2011041623"
"2011/4/16 20:00","3.4","147.56","0","1126.8","2011041623"
"2011/4/16 23:00","0","147.76","59.1","1132.2","2011041623"
"2011/4/17 2:00","0.1","147.92","0","858.5","2011041623"
"2011/4/17 5:00","7.6","148.05","0","701.8","2011041623"
"2011/4/17 8:00","1.5","148.16","0","599.5","2011041623"
"2011/4/17 11:00","","148.26","0","545","2011041623"
"2011/4/17 14:00","","148.35","0","490.6","2011041623"
"2011/4/17 17:00","","148.44","0","490.5","2011041623"
"2011/4/17 20:00","","148.51","0","381.5","2011041623"
"2011/4/17 23:00","","148.56","0","272.5","2011041623"
"2011/4/18 2:00","","148.62","0","327","2011041623"
"2011/4/18 5:00","","148.68","0","327","2011041623"
"2011/4/18 8:00","","148.73","0","274","2011041623"
"2011/4/18 11:00","","148.77","0","220","2011041623"
"2011/4/18 14:00","","148.81","0","220","2011041623"
"2011/4/18 17:00","","148.85","0","220","2011041623"
"2011/4/18 20:00","","148.87","0","110","2011041623"
"2011/4/18 23:00","","148.91","0","220","2011041623"
"2011/4/19 2:00","","148.94","1.78","167","2011041623"
"2011/4/19 5:00","","148.97","0","167","2011041623"
"2011/6/12 8:00","1.7","150.16","0","113","2011061323"
"2011/6/12 11:00","0.9","150.17","0","56.5","2011061323"
"2011/6/12 14:00","2","150.17","0","0","2011061323"
"2011/6/12 17:00","2.1","150.19","0","113","2011061323"
"2011/6/12 20:00","3.8","150.21","21.6","135","2011061323"
"2011/6/12 23:00","8.5","150.22","102","159","2011061323"
"2011/6/13 2:00","2.7","150.23","22.4","78.9","2011061323"
"2011/6/13 5:00","1.5","150.26","0","170","2011061323"
"2011/6/13 8:00","1.4","150.29","0","170","2011061323"
"2011/6/13 11:00","0.3","150.32","0","170","2011061323"
"2011/6/13 14:00","5.4","150.34","0","113","2011061323"
"2011/6/13 17:00","25.3","150.4","0","339","2011061323"
"2011/6/13 20:00","4.6","150.49","0","509","2011061323"
"2011/6/13 23:00","10.4","150.69","0","1133","2011061323"
"2011/6/14 2:00","4.4","150.87","0","1026","2011061323"
"2011/6/14 5:00","0.6","151.03","0","913","2011061323"
"2011/6/14 8:00","0.1","151.16","0","742","2011061323"
"2011/6/14 11:00","0.1","151.26","35.7","606","2011061323"
